namespace label|resource label|namespace|resource uri|parent uri|domain|range
dbo|forester district|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foresterDistrict|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Place|
dbo|format (object)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/format|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||
dbo|formation date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formationDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Organisation|http://www.w3.org/2001/XMLSchema#date
dbo|formation year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formationYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Organisation|http://www.w3.org/2001/XMLSchema#gYear
dbo|former band member|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerBandMember|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Band|http://dbpedia.org/ontology/Person
dbo|former broadcast network|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerBroadcastNetwork|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Broadcaster|http://dbpedia.org/ontology/BroadcastNetwork
dbo|former call sign|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerCallsign|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Broadcaster|http://www.w3.org/2001/XMLSchema#string
dbo|former channel|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerChannel|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Broadcaster|http://www.w3.org/2001/XMLSchema#string
dbo|former choreographer|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerChoreographer|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FigureSkater|http://dbpedia.org/ontology/Person
dbo|former coach|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerCoach|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FigureSkater|http://dbpedia.org/ontology/Person
dbo|former highschool|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerHighschool|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete|http://dbpedia.org/ontology/EducationalInstitution
dbo|former name|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerName|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
dbo|former partner|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerPartner|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FigureSkater|http://dbpedia.org/ontology/Person
dbo|former team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formerTeam|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Athlete|http://dbpedia.org/ontology/SportsTeam
dbo|formula|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/formula|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2001/XMLSchema#string
dbo|fossil|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/fossil|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Species|http://dbpedia.org/ontology/Species
dbo|foundation|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foundation|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PopulatedPlace|http://www.w3.org/2001/XMLSchema#string
dbo|foundation place|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foundationPlace|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Organisation|http://dbpedia.org/ontology/City
dbo|founded by|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foundedBy|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://dbpedia.org/ontology/Agent
dbo|founder|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/founder|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://dbpedia.org/ontology/Person
dbo|founding date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foundingDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#date
dbo|founding year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foundingYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#gYear
dbo|fourth commander|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/fourthCommander|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/MilitaryUnit|http://dbpedia.org/ontology/Person
dbo|frazioni|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frazioni|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Settlement|http://dbpedia.org/ontology/PopulatedPlace
